# Node Results
NodeID,X,Y,Z,Ux,Uy,Uz
62,0.538461538462,0.25,0,-5.72272340234e-06,2.91066408546e-07,-1.48953482236e-05
63,0.615384615385,0.25,0,-6.21376653781e-06,2.63963409544e-07,-1.87009022409e-05
64,0.692307692308,0.25,0,-6.62304918189e-06,2.5693553202e-07,-2.2758317118e-05
65,0.769230769231,0.25,0,-6.90945415146e-06,2.3466494143e-07,-2.70580408639e-05
66,0.846153846154,0.25,0,-7.1283699117e-06,2.15646088991e-07,-3.15171173471e-05
67,0.923076923077,0.25,0,-7.27994778798e-06,1.96405417226e-07,-3.60541978517e-05
68,0.0769230769231,0.25,0.25,1.12444128791e-06,-3.24182883653e-07,-6.12041304394e-07
69,0.153846153846,0.25,0.25,2.03905334684e-06,-3.83276490368e-07,-1.68849153901e-06
70,0.230769230769,0.25,0.25,2.9571039465e-06,-3.1996013657e-07,-3.33244988752e-06
71,0.307692307692,0.25,0.25,3.73156566559e-06,-2.79583647414e-07,-5.57886552569e-06
72,0.384615384615,0.25,0.25,4.49904823012e-06,-2.40960623632e-07,-8.30041276303e-06
73,0.461538461538,0.25,0.25,5.10878120899e-06,-1.78400008424e-07,-1.14282507368e-05
74,0.538461538462,0.25,0.25,5.66976466881e-06,-1.28922579442e-07,-1.4882412555e-05
75,0.615384615385,0.25,0.25,6.16917895076e-06,-9.93601626795e-08,-1.86904863718e-05
76,0.692307692308,0.25,0.25,6.53996478459e-06,-2.48951548703e-08,-2.27861403756e-05
77,0.769230769231,0.25,0.25,6.84657010941e-06,2.816604725e-08,-2.7052285184e-05
78,0.846153846154,0.25,0.25,7.06437904379e-06,7.26714671536e-08,-3.15132528657e-05
79,0.923076923077,0.25,0.25,7.20882895957e-06,1.41333991058e-07,-3.60626366392e-05
80,0,0.15625,0.0541265877365,-3.16913365947e-16,4.82546960153e-17,2.10435590932e-16
81,0,0.052923252816,0.15598516442,2.80156222782e-16,8.26820437643e-17,1.23907792906e-16
82,0,0.158991026047,0.198847046817,3.17839064221e-16,-1.08667622943e-17,5.9715346506e-17
83,0,0.0528501639603,0.0939987498427,-2.23189211667e-16,-6.02509094184e-17,-9.46005294196e-17
84,0,0.108253175473,0.125,-1.87053245014e-16,8.24818226365e-17,2.12145820748e-16
85,0,0.0917677524844,0.053146418842,-3.49146440553e-16,-1.00802199654e-17,5.91844064476e-17
86,0,0.17706816941,0.119913936483,-2.75322974451e-16,1.27299078435e-16,1.70811878649e-17
87,0,0.0997511976422,0.190856021517,4.06481573697e-16,2.40956589494e-17,5.36040894915e-17
88,0,0.205787770231,0.0775784566269,-8.25092762041e-17,-1.87655601865e-17,-1.8185907181e-17
89,0,0.211177452428,0.15625,2.47040668744e-16,-8.70206748789e-17,4.2302701807e-17
90,0,0.0457531754731,0.204246824527,2.53394748195e-16,9.86355358287e-17,1.72014820704e-16
91,0,0.0457531754731,0.0457531754731,-3.46064356346e-16,-1.12868866218e-16,9.34288673411e-17
92,0,0.206260198331,0.205475554867,3.21108149771e-16,-8.52283994833e-17,5.98959310896e-17
93,0,0.147101037401,0.15419456023,3.31815026768e-16,-1.53256626541e-16,7.51814615486e-17
94,0,0.212879885088,0.0364816266053,-3.62247236479e-16,1.17660784941e-16,1.09709833896e-16
95,1,0.197268980974,0.153832804088,1.64677243546e-06,1.82150083753e-07,-4.06635580484e-05
96,1,0.0897975433542,0.049419139799,-4.36970351723e-06,1.82782168247e-07,-4.06661652594e-05
97,1,0.0564261935819,0.154272934472,1.69929142997e-06,1.85800348364e-07,-4.06662959112e-05
98,1,0.197161512047,0.09386801853,-1.81557730978e-06,1.91453836175e-07,-4.06603449076e-05
99,1,0.148810288386,0.124232934056,-5.30349801296e-08,1.86283002766e-07,-4.0650030859e-05
100,1,0.151440785646,0.192385071622,3.89364653773e-06,1.82006613975e-07,-4.06661925261e-05
101,1,0.0486611335248,0.0897558256572,-2.02101481379e-06,1.80503218164e-07,-4.06695702314e-05
102,1,0.151742715209,0.0558821088171,-4.00990172758e-06,1.90469066879e-07,-4.0657088056e-05
103,1,0.09219841565,0.204623873276,4.62488620963e-06,1.85701739576e-07,-4.06889247537e-05
104,1,0.107983483325,0.155657788232,1.77049197988e-06,1.86882288642e-07,-4.06618534336e-05
105,1,0.204246824527,0.0457531754731,-4.61499313061e-06,1.91652015609e-07,-4.06817944334e-05
106,1,0.204246824527,0.204246824527,4.5780501389e-06,1.79378420148e-07,-4.06847567269e-05
107,1,0.0457531754731,0.0457531754731,-4.57139395096e-06,1.79299912526e-07,-4.06849882085e-05
108,1,0.0453769831815,0.204623016819,4.63169722606e-06,1.86044887666e-07,-4.06993631589e-05
109,1,0.09998988874,0.101589704199,-1.34929328372e-06,1.81796301697e-07,-4.06508104802e-05
110,0.805801220856,0,0.188665915676,3.5745002959e-06,1.90011377532e-07,-2.9095248647e-05
111,0.57470357453,0,0.188871807742,3.04437102894e-06,1.63694927251e-07,-1.65922354073e-05
112,0.345048725106,0,0.185396315919,1.93852054284e-06,2.00047969529e-07,-6.67902291853e-06
113,0.194198779144,0,0.0613340843238,-1.22852137935e-06,-2.48571757532e-07,-2.25696787944e-06
114,0.653846153846,0,0.0652391831237,-2.9713770413e-06,1.85908319157e-08,-2.06036379737e-05
115,0.888891604913,0,0.0646891256435,-3.41356998554e-06,1.4061521063e-07,-3.40010267902e-05
116,0.424191304422,0,0.0646018801491,-2.26572081061e-06,-1.00273704043e-07,-9.68750837461e-06
117,0.111108395087,0,0.185310874356,7.39467677322e-07,2.36567755809e-07,-7.6552870803e-07
118,0.946522881714,0,0.154131986943,1.69447140324e-06,1.73964069737e-07,-3.74623123828e-05
119,0.0534771182859,0,0.0958680130572,-1.12206361076e-07,-7.62757810861e-08,-1.06665339384e-07
120,0.807294867964,0,0.0642716726189,-3.34453021534e-06,8.76191035435e-08,-2.91985872868e-05
121,0.192705132036,0,0.185728327381,1.17068111163e-06,2.12301626059e-07,-2.27035806639e-06
122,0.270222965455,0,0.184753107385,1.63274086848e-06,1.95091735188e-07,-4.28309983726e-06
123,0.309905220796,0,0.122818609382,-3.07962704492e-08,2.9726994645e-08,-5.48479459054e-06
